parameters,observation,model,model_1,model_2,model_3,model_4,model_5,model_6,model_7
o1,153.04,145.91037582159043,147.88454080819946,144.26068051515585,145.18216938666114,144.83681382457144,146.46456940543118,144.7736344397068,79.91065770276806
o2,12.27,8.722807221487164,14.201629714481532,11.282065858494738,14.246274743973336,23.147082055356496,16.3991031691432,8.544501331599317,13.578723579469855
o3,17.36,27.034703558683397,19.11202606558774,21.134677362442016,31.528614604472853,34.16216713190077,29.089729315042483,21.417962289589365,15.680745679310004
o4,27.1,48.90336159871303,45.36744808796793,30.682304112613203,21.390028688311578,48.92152738949012,14.092508018761873,48.87635375869652,31.69198094494641
o5,293.76,566.7963073730468,567.5301452636719,565.7535461425781,567.93779296875,566.7245727539063,568.1213806152343,566.3436340332031,564.8768737792968
o6,1796.32,1827.8582153320312,1856.25322265625,1809.9975463867188,1830.2080322265624,1814.2451416015624,1840.7506225585937,1807.7814697265626,824.5328552246094
o7,404.48,225.67071533203125,227.6739486694336,221.89049530029297,220.32486419677736,223.6282699584961,224.5851257324219,224.4567077636719,149.18303375244142
o8,15.13,7.839853715896607,7.638239431381225,8.029630756378173,8.535276889801025,8.530194950103759,8.63083257675171,6.398792266845703,6.966735410690307
o9,100.16,57.19149627685547,207.0729995727539,108.9826271057129,170.0856964111328,379.3746704101562,218.51370544433593,99.16082229614258,187.7736846923828
o10,15.07,11.321069240570068,22.498093605041504,15.120051002502441,21.928936004638672,38.52254447937012,25.9289119720459,10.26107931137085,19.021753883361818
o11,9.06,4.648440027236939,4.089726114273072,4.269142198562622,4.875523853302002,4.938059663772583,4.9440594673156735,4.335607576370239,3.8859238147735597
o12,333.75,430.9363708496094,306.5926086425781,337.7735870361328,502.0254608154297,548.4950805664063,455.5742462158203,344.4729827880859,234.67940368652344
o13,44.8,10.064413928985596,6.893010902404785,7.688378572463989,11.86699857711792,12.963926315307617,10.817102909088135,7.77420334815979,5.280635976791382
o14,180.85,292.45570678710936,271.3094146728516,183.44044036865233,127.82418441772461,292.5615234375,84.11105422973633,292.3024444580078,189.48261260986328
