parameters,dist_min,dist_max,weights,initialGuess,OF:49954.46608925061,OF:49954.46608925061_1,OF:104441.26943356443,OF:79218.57096566098,OF:74875.6054326273,OF:106249.9038275169,OF:61452.72221211969
cfall00,0.0009,0.009,1.0,0.0018,0.00896063322117516,0.00896063322117516,0.001341772191025628,0.006686489500315772,0.006595104636066568,0.0030876932424888127,0.008767101509937177
cfall01,0.0325,0.325,1.0,0.065,0.05685272486743305,0.05685272486743305,0.2364020539988076,0.062196615917015904,0.16792916435766014,0.19314449839426495,0.03571153733892893
cfall02,0.037,0.37,1.0,0.074,0.059041346365695566,0.059041346365695566,0.3698431552700612,0.0651400199565838,0.10003893458252738,0.07914718992669471,0.14676506444029322
cfall03,0.007,0.07,1.0,0.014,0.013509855891396885,0.013509855891396885,0.04012211819955919,0.021870757397476324,0.01864498933816447,0.013084829326833098,0.014721012510566924
cfall10,0.00225,0.0225,1.0,0.0045,0.0032622642430049616,0.0032622642430049616,0.004290692157441392,0.003172314344650571,0.003356140861917936,0.004338645812222172,0.0031584397573690822
cfall11,0.00165,0.0165,1.0,0.0033,0.003419901581739833,0.003419901581739833,0.002310911919700384,0.009517686775389554,0.009678907449151867,0.005391222416940279,0.012007680540668286
cfall12,0.002,0.02,1.0,0.004,0.0033183081122460387,0.0033183081122460387,0.004010548064875661,0.006613919425497757,0.004223546426146103,0.006431750772567758,0.0035567703192850566
cfall20,0.0065,0.065,1.0,0.013,0.006756603602414791,0.006756603602414791,0.007183435373268438,0.00723082821523853,0.007858855446056119,0.00930582375122258,0.007762483240021202
cfall21,0.00145,0.0145,1.0,0.0029,0.002992665052517404,0.002992665052517404,0.014326329040290062,0.004103729242474821,0.0023674200644823204,0.01268142919185284,0.009459379669613386
cfall22,0.00115,0.0115,1.0,0.0023,0.0030977771903311444,0.0030977771903311444,0.011349745709358748,0.01022668870563931,0.002813827548960238,0.004783532770669182,0.006854736342215907
