parameters,dist_min,dist_max,weights,initialGuess,OF:8.964604538670635e6,OF:8.143265787526832e6,OF:9.365105737721264e6,OF:8.362107870858497e6,OF:1.013855059864686e7
cfall00,0.0005,0.005,1.0,0.001,0.0015100286744698314,0.002464341028744592,0.0006281077020038954,0.0007647327505496661,0.0022757094450566546
cfall01,0.025,0.25,1.0,0.05,0.21159590007781442,0.025039948225671294,0.10983307062643052,0.047191569673345306,0.03619518029675309
cfall02,0.03,0.3,1.0,0.06,0.0640913207734284,0.0360513372031562,0.12274524875390373,0.03038751869846916,0.056637035119533774
cfall03,0.0025,0.025,1.0,0.005,0.010962897417942532,0.0030588114919589144,0.0246572235904046,0.022191193315078683,0.0067921861850812485
cfall10,0.0225,0.22499999999999998,1.0,0.045,0.023991719884251486,0.1385683872043709,0.2195401437704341,0.04443684337614873,0.03487836649545107
cfall11,0.035,0.35000000000000003,1.0,0.07,0.03505481982306264,0.11066755732209685,0.03844309917007549,0.0871910623549711,0.239714413503097
cfall12,0.005,0.05,1.0,0.01,0.005226893469783597,0.005015454909768586,0.0050119366392271,0.005040678228760998,0.005233487167933466
cfall20,0.0035,0.035,1.0,0.007,0.013657962799217487,0.00543550908160834,0.02981838903837384,0.01361503866726061,0.028691508570765255
cfall21,0.004,0.04,1.0,0.008,0.039952499052282625,0.004740604948253509,0.00404010627458205,0.004007597578247042,0.018463759656535447
cfall22,0.0005,0.005,1.0,0.001,0.004557854492113818,0.004989454902321933,0.004978227858097126,0.00390671954824565,0.0044389013775112795
