parameters,dist_min,dist_max,target_weights,initialGuess,OF:9327.561487825677,OF:9469.26690842531
nmax0,1.5,15.0,1.0,3.0,2.198919053252219,1.8770753908580362
nmax1,1.25,12.5,1.0,2.5,2.9939593065519294,2.401257469397825
nmax2,3.5,35.0,1.0,7.0,18.963759683886863,9.302776688001774
nmax3,0.5,5.0,1.0,1.0,2.5492509433985417,2.9603332504525177
krb00,-31.0,-3.1,1.0,-6.2,-23.26672623205802,-30.78072185426628
krb01,-17.5,-1.75,1.0,-3.5,-16.7009629999056,-13.832106528886072
krb02,-17.5,-1.75,1.0,-3.5,-1.7694578545649833,-6.732752570497253
krb03,-25.25,-2.525,1.0,-5.05,-12.503918883584666,-19.552983108395413
krb10,-26.0,-2.6,1.0,-5.2,-15.177266081760118,-4.046287012586287
krb11,-22.5,-2.25,1.0,-4.5,-17.012041069286106,-9.81704002481461
krb12,-32.5,-3.25,1.0,-6.5,-15.588154450225165,-5.699024164835603
krb20,-41.0,-4.1,1.0,-8.2,-37.785605069952034,-23.80904447885971
krb21,-31.5,-3.15,1.0,-6.3,-4.845649015832329,-21.928732252844252
krb22,-27.5,-2.75,1.0,-5.5,-12.103138295166547,-10.836847723075007
cfall00,0.00075,0.0075,1.0,0.0015,0.004034944501287927,0.005457021504754869
cfall01,0.025,0.25,1.0,0.05,0.23007781972958632,0.18892358649271415
cfall02,0.0375,0.375,1.0,0.075,0.06493200038298998,0.07409310323465533
cfall03,0.003,0.03,1.0,0.006,0.011266033387479779,0.008211084185384883
cfall10,0.4,4.0,1.0,0.8,1.494307696729019,2.2032357748195457
cfall11,0.1,1.0,1.0,0.2,0.154766762168948,0.2665392787774449
cfall12,0.002,0.02,1.0,0.004,0.00444163339090251,0.0037103946552431333
cfall20,0.0065,0.065,1.0,0.013,0.010878051194053443,0.0529936900443058
cfall21,0.05,0.5,1.0,0.1,0.14992624327710508,0.09521763624452877
cfall22,0.0075,0.075,1.0,0.015,0.0157519895244984,0.014825941523909562
nfall00,0.005,0.05,0.0,0.01,0.039685599526223934,0.006347014967197284
nfall01,0.004,0.04,0.0,0.008,0.004827179272529239,0.005091743364504166
nfall02,0.004,0.04,0.0,0.008,0.013825770705122656,0.005527599450341634
nfall10,0.0055,0.05499999999999999,0.0,0.011,0.018872105458498527,0.006946946060373882
nfall11,0.004,0.04,0.0,0.008,0.00905820478124859,0.012120027443625945
nfall12,0.004,0.04,0.0,0.008,0.01752078872999598,0.009222654790387731
nfall20,4.0e-5,0.0004,0.0,8.0e-5,8.010935871875102e-5,0.00029164136614499815
nfall21,4.0e-5,0.0004,0.0,8.0e-5,0.00025852425174835593,0.00021993310523618403
nfall22,4.0e-5,0.0004,0.0,8.0e-5,6.133652085074975e-5,0.00012794420987480483
nfall23,4.0e-5,0.0004,0.0,8.0e-5,0.00021031180667711923,0.00010448362958611807
