name,bounds,initial,cmtnum,pftnum
nmax,"[0.6199999999999997, 5.58]",3.1,3,0
nmax,"[0.5, 4.5]",2.5,3,1
nmax,"[3, 6]",7.0,3,2
nmax,"[0.21999999999999997, 1.9800000000000002]",1.1,3,3
krb(0),"[-10, -4]",-6.2,3,0
krb(0),"[-6.210000000000001, -0.69]",-3.45,3,1
krb(0),"[-6.210000000000001, -0.69]",-3.45,3,2
krb(0),"[-7, -3]",-5.05,3,3
krb(1),"[-10, -5]",-5.18,3,0
krb(1),"[-0.8899999999999997, -8.010000000000002]",-4.45,3,1
krb(1),"[-8.010000000000002, -0.8899999999999997]",-6.35,3,2
krb(2),"[11.43, -1.2699999999999996]",-8.2,3,0
krb(2),"[-14.759999999999998, -1.6399999999999997]",-6.3,3,1
krb(2),"[-5, 2]",-5.5,3,2
